counterparty,actor_category,crises,n_crises,n_transactions,total_amount,early_access,top_quartile_scale,intermediary_role,centrality_norm,recurrence_norm,cross_crisis_norm,information_channel_score
Brochoff & Sons,unknown,1847,1,1,1642.5,1,0,0,0.0002,0.0038,0.0,0.2006
Messrs Berkefeld,unknown,1857,1,1,920.0,1,0,0,0.0001,0.0038,0.0,0.2006
London S N Coy Limited,unknown,1866,1,1,1398.7,1,0,0,0.0001,0.0038,0.0,0.2006
Loveing & Minton,unknown,1866,1,1,0.0,1,0,0,0.0,0.0038,0.0,0.2006
Edward Sparkhall,unknown,1857,1,1,945.0,1,0,0,0.0001,0.0038,0.0,0.2006
F E Blatspiel,unknown,1847,1,1,2299.2,1,0,0,0.0002,0.0038,0.0,0.2006
F Mutvrieff,unknown,1847,1,1,935.0,1,0,0,0.0001,0.0038,0.0,0.2006
L R & N Browning & Co,unknown,1847,1,1,1771.8,1,0,0,0.0002,0.0038,0.0,0.2006
L Spartali & L,unknown,1847,1,1,3163.5,1,0,0,0.0003,0.0038,0.0,0.2006
L Walker W W,unknown,1847,1,1,2565.0,1,0,0,0.0002,0.0038,0.0,0.2006
F J Montoya,unknown,1857,1,1,651.0,1,0,0,0.0001,0.0038,0.0,0.2006
F Falt,unknown,1847,1,1,123.5,1,0,0,0.0,0.0038,0.0,0.2006
F Dean Leller,unknown,1847,1,1,1489.6,1,0,0,0.0001,0.0038,0.0,0.2006
Lawton & Bichnell,unknown,1847,1,1,1880.0,1,0,0,0.0002,0.0038,0.0,0.2006
Engstom L Co,unknown,1847,1,1,2371.0,1,0,0,0.0002,0.0038,0.0,0.2006
B Douglas & Son,unknown,1847,1,1,0.0,1,0,0,0.0,0.0038,0.0,0.2006
B Faurntheroy,unknown,1847,1,1,935.0,1,0,0,0.0001,0.0038,0.0,0.2006
Edward Johnson,unknown,1847,1,1,1920.0,1,0,0,0.0002,0.0038,0.0,0.2006
E. H. Keeling & Son,unknown,1866,1,1,3225.1,1,0,0,0.0003,0.0038,0.0,0.2006
E Zohrab,unknown,1847,1,1,1633.0,1,0,0,0.0002,0.0038,0.0,0.2006
Alex & Jones,unknown,1847,1,1,950.0,1,0,0,0.0001,0.0038,0.0,0.2006
L Harris & Sons,unknown,1847,1,1,2956.9,1,0,0,0.0003,0.0038,0.0,0.2006
L Engstrom Neame & Co,unknown,1857,1,1,3110.5,1,0,0,0.0003,0.0038,0.0,0.2006
L Engstown Leach & Co,unknown,1847,1,1,1256.8,1,0,0,0.0001,0.0038,0.0,0.2006
F Nalker & Co,unknown,1847,1,1,2171.7,1,0,0,0.0002,0.0038,0.0,0.2006
L Engstown L & Co,unknown,1847,1,1,2862.3,1,0,0,0.0003,0.0038,0.0,0.2006
F Siesler & Co,unknown,1847,1,1,1482.0,1,0,0,0.0001,0.0038,0.0,0.2006
L Busson & Co,unknown,1857,1,1,1724.7,1,0,0,0.0002,0.0038,0.0,0.2006
F.T. Barry,unknown,1866,1,1,1995.6,1,0,0,0.0002,0.0038,0.0,0.2006
Faster Porter & Co,unknown,1847,1,1,2040.4,1,0,0,0.0002,0.0038,0.0,0.2006
Faudel & Phillips,unknown,1857,1,1,1624.5,1,0,0,0.0002,0.0038,0.0,0.2006
Fauntt & B,unknown,1847,1,1,0.0,1,0,0,0.0,0.0038,0.0,0.2006
Kielsalls & Co,unknown,1847,1,1,1340.5,1,0,0,0.0001,0.0038,0.0,0.2006
Alex Bros,unknown,1847,1,1,1643.4,1,0,0,0.0002,0.0038,0.0,0.2006
Ashby Morris Ltd,unknown,1914,1,1,2335.8,1,0,0,0.0002,0.0038,0.0,0.2006
Finze & Williams,unknown,1847,1,1,607.2,1,0,0,0.0001,0.0038,0.0,0.2006
Jw Silmer & Co,unknown,1857,1,1,3821.6,1,0,0,0.0004,0.0038,0.0,0.2006
B Halberth & Sons,unknown,1857,1,1,900.0,1,0,0,0.0001,0.0038,0.0,0.2006
J P Bunt & Co,unknown,1866,1,1,0.0,1,0,0,0.0,0.0038,0.0,0.2006
E Downs & Co,unknown,1857,1,1,724.8,1,0,0,0.0001,0.0038,0.0,0.2006
Culverwell Brooks Co,unknown,1914,1,1,3589.0,1,0,0,0.0003,0.0038,0.0,0.2006
Deichaiu Smart & Co,unknown,1847,1,1,0.0,1,0,0,0.0,0.0038,0.0,0.2006
Lionel Friedeberg,unknown,1847,1,1,0.0,1,0,0,0.0,0.0038,0.0,0.2006
DeVANS,unknown,1847,1,1,4007.0,1,0,0,0.0004,0.0038,0.0,0.2006
B Leloa & Son,unknown,1847,1,1,3218.7,1,0,0,0.0003,0.0038,0.0,0.2006
B L Lomant,unknown,1857,1,1,0.0,1,0,0,0.0,0.0038,0.0,0.2006
B Tippen,unknown,1847,1,1,0.0,1,0,0,0.0,0.0038,0.0,0.2006
E Beach Sons & Co,unknown,1857,1,1,1138.7,1,0,0,0.0001,0.0038,0.0,0.2006
Delennory & Co,unknown,1847,1,1,1808.7,1,0,0,0.0002,0.0038,0.0,0.2006
Union Smiths Bank Prescotts,clearing_or_joint_stock_bank,1914,1,68,274230.8,0,1,0,0.0265,0.2566,0.0,0.1938
London & Brazilian Bank,clearing_or_joint_stock_bank,1914,1,8,1745684.9,0,1,0,0.1686,0.0302,0.0,0.1882
Royal Bank Of Scotland,foreign_or_colonial_financial,1914,1,38,830776.0,0,1,0,0.0802,0.1434,0.0,0.1876
Banque Belge,unknown,1914,1,25,1069739.9,0,1,0,0.1033,0.0943,0.0,0.1848
Union Smiths Bk Ld,unknown,1914,1,35,667362.7,0,1,0,0.0645,0.1321,0.0,0.1827
Deutsche Bank,foreign_or_colonial_financial,1914,1,9,1321208.7,0,1,0,0.1276,0.034,0.0,0.1806
Capital & Counties Bank Ltd,clearing_or_joint_stock_bank,1914,1,24,710577.2,0,1,0,0.0686,0.0906,0.0,0.1773
Credito Italiano,unknown,1914,1,15,862855.5,0,1,0,0.0833,0.0566,0.0,0.1752
Yokohama Bk Ltd,unknown,1914,1,7,1008933.2,0,1,0,0.0975,0.0264,0.0,0.1735
Union Bank Of Scotland Ltd,foreign_or_colonial_financial,1914,1,11,881278.0,0,1,0,0.0851,0.0415,0.0,0.1732
Standard Bk Of S.Africa,unknown,1914,1,17,619090.3,0,1,0,0.0598,0.0642,0.0,0.1716
Barclay & Co Ltd,clearing_or_joint_stock_bank,1914,1,33,125872.1,0,1,0,0.0122,0.1245,0.0,0.1711
National Bank Of Scotland,foreign_or_colonial_financial,1914,1,23,370236.9,0,1,0,0.0358,0.0868,0.0,0.1702
Guaranty Trust Co Of New York,unknown,1914,1,7,653935.3,0,1,0,0.0632,0.0264,0.0,0.1666
Agra & Mastermans Bank Limited,foreign_or_colonial_financial,1866,1,2,750000.0,0,1,0,0.0724,0.0075,0.0,0.1656
Cater Greenwell & Co,unknown,1914,1,9,526436.9,0,1,0,0.0508,0.034,0.0,0.1653
Lon Provincial Bk,unknown,1914,1,24,74464.8,0,1,0,0.0072,0.0906,0.0,0.165
Banca Commerciale Italiana,unknown,1914,1,11,443935.0,0,1,0,0.0429,0.0415,0.0,0.1648
Lutgens & Ripley,unknown,1914,1,16,290912.8,0,1,0,0.0281,0.0604,0.0,0.1647
Bank Of Montreal,foreign_or_colonial_financial,1914,1,15,317947.0,0,1,0,0.0307,0.0566,0.0,0.1646
Barclay & Co,clearing_or_joint_stock_bank,1866,1,4,595188.2,0,1,0,0.0575,0.0151,0.0,0.1638
Union Bank Of Australia Ltd,clearing_or_joint_stock_bank,1914,1,14,284327.4,0,1,0,0.0275,0.0528,0.0,0.1634
British Bank Of Foreign Trade Ltd,clearing_or_joint_stock_bank,1914,1,9,401400.7,0,1,0,0.0388,0.034,0.0,0.1629
James Burness & Sons,unknown,1914,1,8,426901.5,0,1,0,0.0412,0.0302,0.0,0.1628
Alliance Bank Limited,clearing_or_joint_stock_bank,1866,1,4,520000.0,0,1,0,0.0502,0.0151,0.0,0.1623
Martin'S Bank Ltd,clearing_or_joint_stock_bank,1914,1,15,175712.9,0,1,0,0.017,0.0566,0.0,0.1619
Dresdner Bank,foreign_or_colonial_financial,1914,1,5,468421.2,0,1,0,0.0452,0.0189,0.0,0.1619
London County Bank,clearing_or_joint_stock_bank,1866,1,3,505035.2,0,1,0,0.0488,0.0113,0.0,0.1615
Manchester & Liverpool District Bkg Co Ltd,unknown,1914,1,7,358625.0,0,1,0,0.0346,0.0264,0.0,0.1609
John Boy & Co,unknown,1857,1,17,32305.7,0,1,0,0.0031,0.0642,0.0,0.1602
Williams Deacon'S Bank Ltd,clearing_or_joint_stock_bank,1914,1,10,213978.0,0,1,0,0.0207,0.0377,0.0,0.1598
Swiss Bankverein,unknown,1914,1,5,346781.4,0,1,0,0.0335,0.0189,0.0,0.1595
Lon Lpool Bk Of Comce,unknown,1914,1,12,141767.5,0,1,0,0.0137,0.0453,0.0,0.1595
Bank Of London Limited,clearing_or_joint_stock_bank,1866,1,2,430000.0,0,1,0,0.0415,0.0075,0.0,0.1594
Commercial Bank Of Scotland Ltd,foreign_or_colonial_financial,1914,1,9,198264.0,0,1,0,0.0192,0.034,0.0,0.1589
Gust Roos & Co,unknown,1866,1,14,28939.5,0,1,0,0.0028,0.0528,0.0,0.1585
Robert Lawes & Co,unknown,1866,1,5,257800.0,0,1,0,0.0249,0.0189,0.0,0.1578
Chilian Gout,unknown,1914,1,1,364090.3,0,1,0,0.0352,0.0038,0.0,0.1576
Metrop Provincial Bank Limited,clearing_or_joint_stock_bank,1866,1,9,118475.7,0,1,0,0.0114,0.034,0.0,0.1574
Robarts Lubbock Co,unknown,1914,1,5,196156.9,0,1,0,0.0189,0.0189,0.0,0.1566
Williams Overbury & Co,unknown,1866,1,10,42335.7,0,1,0,0.0041,0.0377,0.0,0.1565
Morrison Dillon & Co,unknown,1857,1,9,66708.9,0,1,0,0.0064,0.034,0.0,0.1564
London Westminister Bank,clearing_or_joint_stock_bank,1866,1,1,300000.0,0,1,0,0.029,0.0038,0.0,0.1564
Konig Bros,unknown,1914,1,3,233761.9,0,1,0,0.0226,0.0113,0.0,0.1562
The Bornes Co Limited,unknown,1866,1,5,168410.2,0,1,0,0.0163,0.0189,0.0,0.1561
The City Bank,clearing_or_joint_stock_bank,1866,1,2,255049.2,0,1,0,0.0246,0.0075,0.0,0.156
Commercial Banking Co. Of Of Sydney Ltd,unknown,1914,1,5,161863.9,0,1,0,0.0156,0.0189,0.0,0.156
H. Bath & Son,unknown,1866,1,9,34991.1,0,1,0,0.0034,0.034,0.0,0.1558
Natl Bk Of Africa Ltd,unknown,1914,1,1,268612.5,0,1,0,0.0259,0.0038,0.0,0.1557
Sheppard Pelly & Co,unknown,1866,1,4,169500.0,0,1,0,0.0164,0.0151,0.0,0.1555
Josh Dodson,unknown,1847,1,9,8230.3,0,1,0,0.0008,0.034,0.0,0.1553
Direction Der Discounts,unknown,1914,1,1,243103.1,0,1,0,0.0235,0.0038,0.0,0.1553
The London County Bank,clearing_or_joint_stock_bank,1866,1,1,239167.8,0,1,0,0.0231,0.0038,0.0,0.1552
Bank Of Wales,clearing_or_joint_stock_bank,1914,1,2,201077.9,0,1,0,0.0194,0.0075,0.0,0.155
Anglo Austrian Bank,foreign_or_colonial_financial,1914,1,2,186328.2,0,1,0,0.018,0.0075,0.0,0.1547
National Bank Of Australasia,foreign_or_colonial_financial,1866,1,4,123339.9,0,1,0,0.0119,0.0151,0.0,0.1546
R Smith & Co,unknown,1857,1,6,53406.9,0,1,0,0.0052,0.0226,0.0,0.1544
J C Cummins,unknown,1847,1,7,18888.7,0,1,0,0.0018,0.0264,0.0,0.1543
J C Bailey,unknown,1857,1,3,135000.0,0,1,0,0.013,0.0113,0.0,0.1543
Weston + Laurie,unknown,1857,1,6,49070.2,0,1,0,0.0047,0.0226,0.0,0.1543
Swayne & Bovill,unknown,1847,1,7,6360.0,0,1,0,0.0006,0.0264,0.0,0.1541
Duncan Fox & Co,unknown,1914,1,4,87687.8,0,1,0,0.0085,0.0151,0.0,0.154
Crawshay Bailey,unknown,1866,1,4,84394.7,0,1,0,0.0082,0.0151,0.0,0.1539
Edward Higgin & Co,unknown,1866,1,6,24208.2,0,1,0,0.0023,0.0226,0.0,0.1538
British Bank Of North America Ltd,clearing_or_joint_stock_bank,1914,1,4,80847.8,0,1,0,0.0078,0.0151,0.0,0.1538
Consolidated Bank Limited,clearing_or_joint_stock_bank,1866,1,2,131190.3,0,1,0,0.0127,0.0075,0.0,0.1537
A Pelly & Co,unknown,1857,1,6,15759.0,0,1,0,0.0015,0.0226,0.0,0.1537
J. R. Jaffray & Co,unknown,1866,1,6,15300.0,0,1,0,0.0015,0.0226,0.0,0.1537
H Moryssi Bro,unknown,1847,1,6,9004.5,0,1,0,0.0009,0.0226,0.0,0.1536
Oliver Worthington & Co,unknown,1847,1,6,4020.9,0,1,0,0.0004,0.0226,0.0,0.1535
Thos Walker,unknown,1857,1,6,7750.8,0,1,0,0.0007,0.0226,0.0,0.1535
Williams Deacon & Co On Each Of The Dudley + West Bromwich Co,clearing_or_joint_stock_bank,1857,1,3,90000.0,0,1,0,0.0087,0.0113,0.0,0.1534
Mildred Goyeneche & Co,unknown,1866,1,4,52289.4,0,1,0,0.0051,0.0151,0.0,0.1533
B. C. T. Gray & Son,unknown,1857,1,5,17564.4,0,1,0,0.0017,0.0189,0.0,0.1532
H. S. Lefevre & Co,unknown,1866,1,4,46328.4,0,1,0,0.0045,0.0151,0.0,0.1532
Spence Baggallay & Co,unknown,1857,1,5,17235.6,0,1,0,0.0017,0.0189,0.0,0.1532
Anglo Egyptian Bank Limited,foreign_or_colonial_financial,1866,1,3,79440.3,0,1,0,0.0077,0.0113,0.0,0.1532
Imp. Ottoman Government,unknown,1866,1,1,135000.0,0,1,0,0.013,0.0038,0.0,0.1532
Charles Hemery,unknown,1866,1,5,12107.8,0,1,0,0.0012,0.0189,0.0,0.1531
Dinsdale Drewell & Co,unknown,1857,1,2,101642.9,0,1,0,0.0098,0.0075,0.0,0.1531
East London Bank Limited,clearing_or_joint_stock_bank,1866,1,3,73178.1,0,1,0,0.0071,0.0113,0.0,0.1531
P Mordon & Co,unknown,1866,1,5,8704.2,0,1,0,0.0008,0.0189,0.0,0.153
Lon: River Plate Bank Limited,clearing_or_joint_stock_bank,1866,1,2,99646.2,0,1,0,0.0096,0.0075,0.0,0.153
European Bank Limited,clearing_or_joint_stock_bank,1866,1,4,40655.8,0,1,0,0.0039,0.0151,0.0,0.153
London Bank Of Australia Ltd,clearing_or_joint_stock_bank,1914,1,3,62004.6,0,1,0,0.006,0.0113,0.0,0.1529
Banca De Espana,unknown,1914,1,3,63926.4,0,1,0,0.0062,0.0113,0.0,0.1529
H & R Fowler,unknown,1866,1,4,22209.2,0,1,0,0.0021,0.0151,0.0,0.1527
John Pickersgill & Son,unknown,1857,1,4,20673.0,0,1,0,0.002,0.0151,0.0,0.1527
C. Bailey,unknown,1866,1,3,50802.4,0,1,0,0.0049,0.0113,0.0,0.1527
R Cunliffes & Co,unknown,1857,1,3,46262.8,0,1,0,0.0045,0.0113,0.0,0.1526
English & Swedish Bank Limited,clearing_or_joint_stock_bank,1866,1,3,47062.3,0,1,0,0.0045,0.0113,0.0,0.1526
Anglo Italian Bank Limited,foreign_or_colonial_financial,1866,1,2,70000.0,0,1,0,0.0068,0.0075,0.0,0.1525
Benoliel Brothers,unknown,1857,1,4,9955.8,0,1,0,0.001,0.0151,0.0,0.1525
Nestle Andreae & Co,unknown,1866,1,4,13840.2,0,1,0,0.0013,0.0151,0.0,0.1525
Bco & Del Rio De La Hala,unknown,1914,1,1,99407.0,0,1,0,0.0096,0.0038,0.0,0.1525
W McAndrew Sons,unknown,1847,1,4,7588.6,0,1,0,0.0007,0.0151,0.0,0.1524
Lambert Ridley & Co,unknown,1847,1,4,4709.9,0,1,0,0.0005,0.0151,0.0,0.1524
A Dalrymple,unknown,1847,1,4,4970.2,0,1,0,0.0005,0.0151,0.0,0.1524
Egyptian Commercial Trading Coy,unknown,1866,1,3,35028.9,0,1,0,0.0034,0.0113,0.0,0.1524
Aberdare Iron Co.,industrial_or_commercial,1866,1,2,66444.3,0,1,0,0.0064,0.0075,0.0,0.1524
Walhampton & Staffordshire,unknown,1857,1,1,91579.5,0,1,0,0.0088,0.0038,0.0,0.1523
National Bank Of New Zealand,clearing_or_joint_stock_bank,1914,1,1,85217.8,0,1,0,0.0082,0.0038,0.0,0.1522
C David & Co,unknown,1857,1,3,19557.0,0,1,0,0.0019,0.0113,0.0,0.1521
Fore Street Warehouse & Co Limited,unknown,1866,1,2,47334.4,0,1,0,0.0046,0.0075,0.0,0.152
Cj Hamlin & Sons,unknown,1857,1,2,44622.0,0,1,0,0.0043,0.0075,0.0,0.152
R & H Green,unknown,1866,1,3,17613.9,0,1,0,0.0017,0.0113,0.0,0.152
Gilmour Rankin Strong & Co,unknown,1857,1,3,9890.4,0,1,0,0.001,0.0113,0.0,0.1519
Mccalmont Bros & Co,unknown,1866,1,2,42273.0,0,1,0,0.0041,0.0075,0.0,0.1519
G. J. Smith For The Shropshire Banking Coy,unknown,1866,1,2,35602.7,0,1,0,0.0034,0.0075,0.0,0.1518
Argenti S & Co,unknown,1847,1,3,4643.2,0,1,0,0.0004,0.0113,0.0,0.1518
Heilbut Symons & Co,unknown,1914,1,1,64698.8,0,1,0,0.0062,0.0038,0.0,0.1518
English Scottish & Australian Bank Limited,clearing_or_joint_stock_bank,1866,1,2,37000.0,0,1,0,0.0036,0.0075,0.0,0.1518
Ebbw Vale & Co,unknown,1857,1,2,34500.0,0,1,0,0.0033,0.0075,0.0,0.1518
M J de Lizardi,unknown,1847,1,3,7364.9,0,1,0,0.0007,0.0113,0.0,0.1518
Craster Humble & Son,unknown,1847,1,3,5836.4,0,1,0,0.0006,0.0113,0.0,0.1518
C Tottie & Son,unknown,1847,1,3,7657.3,0,1,0,0.0007,0.0113,0.0,0.1518
London County Bank For The Midland Bank,clearing_or_joint_stock_bank,1866,1,1,55000.0,0,1,0,0.0053,0.0038,0.0,0.1516
Crowsley Bailey,unknown,1866,1,2,23299.2,0,1,0,0.0023,0.0075,0.0,0.1516
Price & Co For The Bedford,unknown,1866,1,1,52116.3,0,1,0,0.005,0.0038,0.0,0.1516
T. A. Hawkey,unknown,1866,1,2,27000.0,0,1,0,0.0026,0.0075,0.0,0.1516
William Deacon & Co For The Northampton Union Bank,clearing_or_joint_stock_bank,1866,1,1,46322.1,0,1,0,0.0045,0.0038,0.0,0.1515
Jroing Ellsworth & Adams,unknown,1857,1,2,17148.6,0,1,0,0.0017,0.0075,0.0,0.1515
Jno Shield & Co,unknown,1847,1,2,18204.0,0,1,0,0.0018,0.0075,0.0,0.1515
Palmer Mackillop Dent & Co,unknown,1857,1,1,45000.0,0,1,0,0.0043,0.0038,0.0,0.1514
The International Bank,clearing_or_joint_stock_bank,1866,1,2,17055.0,0,1,0,0.0016,0.0075,0.0,0.1514
Joseph Richard,unknown,1866,1,2,16241.8,0,1,0,0.0016,0.0075,0.0,0.1514
John Ranking & Co,unknown,1857,1,2,13837.5,0,1,0,0.0013,0.0075,0.0,0.1514
J C Im Thuru & Co,unknown,1857,1,2,16755.3,0,1,0,0.0016,0.0075,0.0,0.1514
Rhymney Iron & Co,industrial_or_commercial,1866,1,2,12067.9,0,1,0,0.0012,0.0075,0.0,0.1514
Cuadra Romero,unknown,1857,1,2,12015.7,0,1,0,0.0012,0.0075,0.0,0.1514
C. Candy & Co,unknown,1866,1,2,8487.9,0,1,0,0.0008,0.0075,0.0,0.1513
James Pin & Co,unknown,1866,1,2,9758.7,0,1,0,0.0009,0.0075,0.0,0.1513
John Torrance,unknown,1866,1,2,9725.0,0,1,0,0.0009,0.0075,0.0,0.1513
J & H Taylor,unknown,1847,1,2,8594.0,0,1,0,0.0008,0.0075,0.0,0.1513
Provincial Bank & Corp Limited,clearing_or_joint_stock_bank,1866,1,2,9373.5,0,1,0,0.0009,0.0075,0.0,0.1513
Carneille David & Co,unknown,1857,1,2,11557.8,0,1,0,0.0011,0.0075,0.0,0.1513
A. Grant Son & Co,unknown,1866,1,2,9144.9,0,1,0,0.0009,0.0075,0.0,0.1513
British Honduras Coy Limited,unknown,1866,1,2,11000.0,0,1,0,0.0011,0.0075,0.0,0.1513
G. Hitchcock Williams & Co,unknown,1866,1,2,8791.2,0,1,0,0.0008,0.0075,0.0,0.1513
I & E Corderoy & Co,unknown,1866,1,2,8836.2,0,1,0,0.0009,0.0075,0.0,0.1513
Dwindale & Ho,unknown,1866,1,1,40000.0,0,1,0,0.0039,0.0038,0.0,0.1513
W H Cox & Co,unknown,1857,1,2,10938.6,0,1,0,0.0011,0.0075,0.0,0.1513
The Oriental Br Corps,unknown,1857,1,1,34380.0,0,1,0,0.0033,0.0038,0.0,0.1512
John Clifford,unknown,1847,1,2,4842.0,0,1,0,0.0005,0.0075,0.0,0.1512
Frullen Baubury & Co,unknown,1866,1,1,35686.8,0,1,0,0.0034,0.0038,0.0,0.1512
D A Scanavi,unknown,1847,1,2,5476.8,0,1,0,0.0005,0.0075,0.0,0.1512
Albert Pelly & Co,unknown,1847,1,2,4931.3,0,1,0,0.0005,0.0075,0.0,0.1512
Tjas + Robinson W Ebbie Rale Co,unknown,1857,1,1,31500.0,0,1,0,0.003,0.0038,0.0,0.1512
The European Bank,clearing_or_joint_stock_bank,1866,1,1,29100.6,0,1,0,0.0028,0.0038,0.0,0.1511
Keith Sands & Co,unknown,1857,1,1,30000.0,0,1,0,0.0029,0.0038,0.0,0.1511
The East London Bank Limited,clearing_or_joint_stock_bank,1866,1,1,28809.9,0,1,0,0.0028,0.0038,0.0,0.1511
J R Thomason & Co,unknown,1857,1,1,27000.0,0,1,0,0.0026,0.0038,0.0,0.1511
Josh Robinson + Ebbie Vale Co,unknown,1857,1,1,24300.0,0,1,0,0.0023,0.0038,0.0,0.151
A. Ralli & Co,unknown,1866,1,1,23396.4,0,1,0,0.0023,0.0038,0.0,0.151
L Cohen,unknown,1857,1,1,23384.7,0,1,0,0.0023,0.0038,0.0,0.151
G. Credit & Finance Coy Limited,unknown,1866,1,1,22286.7,0,1,0,0.0022,0.0038,0.0,0.151
Edinburgh & Glasgow B,unknown,1847,1,1,23209.0,0,1,0,0.0022,0.0038,0.0,0.151
Harvey & Hudsons,unknown,1866,1,1,17343.0,0,1,0,0.0017,0.0038,0.0,0.1509
Joseph Leese,unknown,1866,1,1,19000.0,0,1,0,0.0018,0.0038,0.0,0.1509
Darent & Co,unknown,1857,1,1,18309.6,0,1,0,0.0018,0.0038,0.0,0.1509
Cocker Biddulph & Co,unknown,1866,1,1,19000.0,0,1,0,0.0018,0.0038,0.0,0.1509
Bailey & Co To Afe Of Bailey,unknown,1866,1,1,18325.1,0,1,0,0.0018,0.0038,0.0,0.1509
"Randall, Wigan & Co",unknown,1866,1,1,20000.0,0,1,0,0.0019,0.0038,0.0,0.1509
X. Balli,unknown,1866,1,1,14961.6,0,1,0,0.0014,0.0038,0.0,0.1508
M Gray & Co,unknown,1847,1,1,13800.9,0,1,0,0.0013,0.0038,0.0,0.1508
Miles Brother & Co,unknown,1866,1,1,9000.0,0,1,0,0.0009,0.0038,0.0,0.1508
Boysin Hoyer Tagart,unknown,1857,1,1,10000.0,0,1,0,0.001,0.0038,0.0,0.1508
The Jone St Marehouse Co Limited,unknown,1866,1,1,9305.8,0,1,0,0.0009,0.0038,0.0,0.1508
F Calvert,unknown,1857,1,1,9000.0,0,1,0,0.0009,0.0038,0.0,0.1508
Ebbie Vale Co & Robbinson,unknown,1857,1,1,11799.9,0,1,0,0.0011,0.0038,0.0,0.1508
Melhuish Sons & Co,unknown,1857,1,1,13973.0,0,1,0,0.0013,0.0038,0.0,0.1508
Straham & Co,unknown,1847,1,1,14597.9,0,1,0,0.0014,0.0038,0.0,0.1508
Truhling & Goschen,merchant_bank,1914,1,1,10412.9,0,0,1,0.001,0.0038,0.0,0.1508
Pinto Leite & Brothers,unknown,1857,1,1,9224.1,0,1,0,0.0009,0.0038,0.0,0.1508
Crowns Agents For Colonies,unknown,1866,1,1,9000.0,0,1,0,0.0009,0.0038,0.0,0.1508
F Le Breton,unknown,1857,1,1,14292.0,0,1,0,0.0014,0.0038,0.0,0.1508
J R Thomas & Co,unknown,1857,1,1,10800.0,0,1,0,0.001,0.0038,0.0,0.1508
J. Young Ehlers & Co,unknown,1866,1,1,9900.0,0,1,0,0.001,0.0038,0.0,0.1508
Sims Willyams Nevill & Co,unknown,1857,1,1,8807.4,0,1,0,0.0009,0.0038,0.0,0.1508
J Bulk Son & Co,unknown,1857,1,1,9900.0,0,1,0,0.001,0.0038,0.0,0.1508
T H Elmenhorst,unknown,1847,1,1,4790.4,0,1,0,0.0005,0.0038,0.0,0.1507
J Rult Sons Co,unknown,1847,1,1,6672.8,0,1,0,0.0006,0.0038,0.0,0.1507
H Rogers Sons & Co,unknown,1857,1,1,8175.6,0,1,0,0.0008,0.0038,0.0,0.1507
J T Harris,unknown,1847,1,1,5819.0,0,1,0,0.0006,0.0038,0.0,0.1507
Unity Mutual Bank,clearing_or_joint_stock_bank,1857,1,1,8253.7,0,1,0,0.0008,0.0038,0.0,0.1507
Famraes M Co,unknown,1847,1,1,6033.8,0,1,0,0.0006,0.0038,0.0,0.1507
T & N Kind,unknown,1847,1,1,8602.5,0,1,0,0.0008,0.0038,0.0,0.1507
Eastern Amos & Sons,merchant_bank,1866,1,1,2046.6,0,0,1,0.0002,0.0038,0.0,0.1506
James Stern & Sons,merchant_bank,1847,1,1,859.3,0,0,1,0.0001,0.0038,0.0,0.1506
Sevayne & Bowell,unknown,1847,1,1,4033.3,0,1,0,0.0004,0.0038,0.0,0.1506
Bambridge & Mews,unknown,1847,1,1,4162.3,0,1,0,0.0004,0.0038,0.0,0.1506
Jomdes Co,unknown,1847,1,1,4070.6,0,1,0,0.0004,0.0038,0.0,0.1506
Bank Of Scotland,foreign_or_colonial_financial,1914,1,9,27550.0,0,0,0,0.0027,0.034,0.0,0.0056
Borneo Co Ltd,unknown,1914,1,7,57205.2,0,0,0,0.0055,0.0264,0.0,0.0051
Beith Stevenson & Co,unknown,1914,1,7,55956.1,0,0,0,0.0054,0.0264,0.0,0.005
Britsh Linen Bank,clearing_or_joint_stock_bank,1914,1,8,4664.5,0,0,0,0.0005,0.0302,0.0,0.0046
Fecan Kerrison & Flanne,unknown,1857,1,7,5768.0,0,0,0,0.0006,0.0264,0.0,0.0041
Hy Rogers Sons & Co,unknown,1914,1,6,31711.9,0,0,0,0.0031,0.0226,0.0,0.004
Bank Of British West Africa Ltd,foreign_or_colonial_financial,1914,1,5,51756.0,0,0,0,0.005,0.0189,0.0,0.0038
R&J Henderson,unknown,1914,1,6,17357.5,0,0,0,0.0017,0.0226,0.0,0.0037
Puito Perry & Co,unknown,1857,1,6,7155.0,0,0,0,0.0007,0.0226,0.0,0.0035
Pinto Leite & Nephews,unknown,1914,1,4,35807.4,0,0,0,0.0035,0.0151,0.0,0.003
G.F. Neame Co,unknown,1914,1,3,44054.3,0,0,0,0.0043,0.0113,0.0,0.0026
T. R. Merton,unknown,1914,1,3,41302.2,0,0,0,0.004,0.0113,0.0,0.0025
Chesnutt Cooper Co,unknown,1914,1,4,12332.5,0,0,0,0.0012,0.0151,0.0,0.0025
Arbuthnot Latham Co,unknown,1914,1,3,34247.5,0,0,0,0.0033,0.0113,0.0,0.0024
Peek Brothers & Co,unknown,1866,1,4,8010.0,0,0,0,0.0008,0.0151,0.0,0.0024
Carr & Hoare,unknown,1866,1,4,5448.6,0,0,0,0.0005,0.0151,0.0,0.0024
Natl Bk Of Belgium,unknown,1914,1,3,34546.8,0,0,0,0.0033,0.0113,0.0,0.0024
