counterparty_clean,canonical_counterparty,match_method,similarity_score,manual_review_required,cluster_id
Cook Son & Co,Cook Sons & Co,rapidfuzz_token_set_ratio,100,False,234
Cook Sons & Co,Cook Sons & Co,exact,100,False,234
Copestake Moore & Co,"Copestake Moore, Crampton & Co",rapidfuzz_token_set_ratio,100,False,235
"Copestake Moore, Crampton & Co","Copestake Moore, Crampton & Co",exact,100,False,235
Cotesworth & Powell,Cotesworth & Powell,exact,100,False,236
Coulon & Co,Coulon & Co,exact,100,False,237
Coutts & Co,Coutts & Co,exact,100,False,238
Coventry Sheppard & Co,Coventry Sheppard & Co,exact,100,False,239
Cox Heisch & Co,Cox Heisch & Co,exact,100,False,240
Crawshay Bailey,Crawshay Bailey,exact,100,False,241
Credit Lyonnais Per Glyn Mills Currie,Credit Lyonnais Per Glyn Mills Currie,exact,100,False,242
Credito Italiano,Credito Italiano,exact,100,False,243
Cripps & Starkey,Cripps & Starkey,exact,100,False,244
"Crocker, Sons & Turner","Crocker, Sons & Turner",exact,100,False,245
Crowe Christian & Co,Crowe Christian & Co,exact,100,False,246
Crowns Agents For Colonies,Crowns Agents For Colonies,exact,100,False,247
Crowsley Bailey,Crowsley Bailey,exact,100,False,248
Cuadra Romero,Cuadra Romero,exact,100,False,249
Culverwell Brooks Co,Culverwell Brooks Co,exact,100,False,250
Cunliffe Bros,Cunliffe Bros,exact,100,False,251
Cunliffes & Co,Cunliffes & Co,exact,100,False,252
Curteis Whitworth & Co,Curteis Whitworth & Co,exact,100,False,253
Cutler & Barker,Cutler & Barker,exact,100,False,254
D & T J Warren,D & T J Warren,exact,100,False,255
D Drakeford & Co,D Drakeford & Co,exact,100,False,256
D H Bushell,D H Bushell,exact,100,False,257
D Lloyd,D Lloyd,exact,100,False,258
D T Morgan,D T Morgan,exact,100,False,259
D Taylor & Sons,D Taylor & Sons,exact,100,False,260
D. D. Cama & Co,D. D. Cama & Co,exact,100,False,261
D. E. Power,D. E. Power,exact,100,False,262
D.Sasson Co Ltd,D.Sasson Co Ltd,exact,100,False,263
Da Costa & Kiell,Da Costa & Kiell,exact,100,False,264
Dadabhai Naoroji & Co,Dadabhai Naoroji & Co,exact,100,False,265
"Dae La Rue Thomas, & Co","Dae La Rue Thomas, & Co",exact,100,False,266
Daniel Hawkins,Daniel Hawkins,exact,100,False,267
Daniell Cafenove & Co,Daniell Cafenove & Co,exact,100,False,268
